"";"year";"count";"month";"areacell";"species";"sampling_type";"vessel"
"1";2004;18177143;3;"IXa";"ANE";"ecocadiz_bio";"1.RSH"
"3";2006;35539397;3;"IXa";"ANE";"ecocadiz_bio";"1.RSH"
"4";2007;28882127;4;"IXa";"ANE";"ecocadiz_bio";"1.RSH"
"6";2009;21580497;4;"IXa";"ANE";"ecocadiz_bio";"1.RSH"
"7";2010;11338565,4309886;4;"IXa";"ANE";"ecocadiz_bio";"1.RSH"
"10";2013;7336183,59390864;5;"IXa";"ANE";"ecocadiz_bio";"1.RSH"
"11";2014;28669340,3696941;4;"IXa";"ANE";"ecocadiz_bio";"1.RSH"
"12";2015;12051442,6409076;4;"IXa";"ANE";"ecocadiz_bio";"1.RSH"
"21";2016;22836029,4684166;4;"IXa";"ANE";"ecocadiz_bio";"1.RSH"
"NA";2017;6275135,88713;4;"IXa";"ANE";"ecocadiz_bio";"1.RSH"
"41";2018;22608373,7410879;4;"IXa";"ANE";"ecocadiz_bio";"1.RSH"
"51";2019;40220555,2599703;4;"IXa";"ANE";"ecocadiz_bio";"1.RSH"
"61";2020;19168578,7059174;4;"IXa";"ANE";"ecocadiz_bio";"1.RSH"
